Song-Name,Songs,Movies,Type
1,Aankh Marey,Simmba,Party
2,Coca Cola,Luka Chuppi,Romantic
3,Apna Time Aayega,Gully Boy,Workout
4,Mungda,Total Dhamaal,Party
5,Tere Bin,Simmba,Romantic
6,Gali Gali,KGF,Party
7,Chamma Chamma,Fraud Saiyaan,Party
8,Mere Gully Mein,Gully Boy,Workout
9,Kamariya,Mitron,Marriage
10,Ek Ladki Ko Dekha Toh Aisa Laga,Ek Ladki Ko Dekha Toh Aisa Laga,Romantic
11,Swag Se Swagat,Tiger Zinda Hai,Marriage
12,Poster Lagwa Do,Luka Chuppi,Marriage
13,Daaru Wargi,Cheat India,Party
14,Dilbar,Satyameva Jayate,Party
15,Proper Patola,Namaste England,Party
16,Doori,Gully Boy,Travel
17,Dil Diyan Gallan,Tiger Zinda Hai,Romantic
18,Husn Parcham,Zero,Marriage
19,Bom Diggy Diggy,Sonu Ke Titu Ki Sweety,Party
20,Issaqbaazi,Zero,Party
21,Mere Naam Tu,Zero,Romantic
22,High Rated Gabru – Nawabzaade,Nawabzaade,Marriage
23,Dekhte Dekhte,Batti Gul Meter Chalu,Romantic
24,Zingaat,Dhadak,Party
25,Tareefan,Veere Di Wedding,Marriage
26,Mile Ho Tum (Reprise),Fever,Marriage
27,Dil Chori,Sonu Ke Titu Ki Sweety,Marriage
28,Tere Naal Nachna,Nawabzaade,Party
29,Dil Meri Na Sune,Genius,Romantic
30,Dhadak Title Track,Dhadak,Marriage
31,Heeriye,Race 3,Marriage
32,Chogada,Loveratri,Party
33,Gud Naal Ishq Mitha,Ek Ladki Ko Dekha Toh Aisa Laga,Marriage
34,Paniyon Sa,Satyameva Jayate,Romantic
35,Milegi Milegi,Stree,Party
36,Morni Banke,Badhaai Ho,Marriage
37,Bhare Bazaar,Namaste England,Marriage
38,Khalibali,Padmaavat,Workout
39,Aao Kabhi Haveli Pe,Stree,Party
40,Badri Ki Dulhania,Badrinath Ki Dulhania,Marriage
41,Cheez Badi,Machine,Party
42,Dholida,Loveratri,Party
43,Sweetheart,Kedarnath,Marriage
44,Namo Namo,Kedarnath,Travel
45,Qaafirana,Kedarnath,Romantic
46,Tu Hi Re,2,Party
47,Chhote Chhote Peg,Sonu Ke Titu Ki Sweety,Marriage
48,Galti Se Mistake,Jagga Jasoos,Party
49,Phir Mulaaqat,Cheat India,Romantic
50,Kala Chashma,Baar Baar Dekho,Party
51,Mantoiyat,Manto,Travel
52,Nashe Si Chadh Gayi,Befikre,Marriage
53,Mera Pyar Tera Pyar,Jalebi,Romantic
54,Ding Dang,Munna Michael,Party
